Start,End,Duration,TCP Connect,TLS Handshake,Wait,Receive,Status,Content Type,Request Size,Response Size,URL
17221,17918,697,13,75,375,16,200,application/json;charset=utf-8,727,2466,https://default.prd.api.discomax.com/token?realm=bolt
17348,17868,520,7,67,32,23,400,application/json,642,281,https://prd.api.discomax.com/session-context/headwaiter/v1/bootstrap
17961,18098,137,0,0,122,12,200,application/json,2377,4896,https://default.prd.api.discomax.com/labs/api/v1/sessions/feature-flags/decisions
18100,18233,133,0,0,117,14,200,application/json,2212,4380,https://prd.api.discomax.com/session-context/headwaiter/v1/bootstrap
18196,18391,195,0,0,180,13,200,application/json;charset=utf-8,2297,4761,https://default.prd.api.discomax.com/users/me
18394,18450,56,0,0,42,7,200,application/json,6073,336,https://default.prd.api.discomax.com/entitlements/userEntitlementsSummary/me
18408,18520,112,0,0,97,8,200,application/json;charset=utf-8,6065,465,https://prd.api.discomax.com/users/me/partners
18415,18534,119,0,0,105,7,200,application/json;charset=utf-8,6073,888,https://default.prd.api.discomax.com/users/me?validateAccount=true
18500,18560,60,0,0,45,7,200,application/json,6073,1819,https://default.prd.api.discomax.com/labs/api/v1/sessions/feature-flags/decisions?projectId=d2ebd284-66bd-41be-9cf1-acaad76c9827
18769,18828,59,0,0,44,8,200,application/json;charset=utf-8,6137,454,https://default.prd.api.discomax.com/legal/region
19045,19097,52,0,0,42,2,304,application/json;charset=utf-8,6176,272,https://default.prd.api.discomax.com/legal/region
19552,19617,65,0,0,49,9,200,application/json;charset=utf-8,6177,1137,https://default.prd.api.discomax.com/legal/terms?filter%5Bkind.brandId%5D=beam&decorators=articleBodyRichText.richTextHtml&include=kind%2Cconsent&filter%5Bkind.storeFrontRegion%5D=US&filter%5Bkind.alias%5D=sell-share-data
19738,19792,54,0,0,40,7,200,application/json,6073,577,https://default.prd.api.discomax.com/cms/configs/geoblock
20623,20823,200,14,84,50,10,201,,11493,149,https://telegraph.prd.api.discomax.com/events
21818,22030,212,7,15,5,14,200,image/png,999,10250,https://images.cdn.prd.api.discomax.com/2023%2F4%2F13%2F6464c054-300e-4800-815f-84e63545ca8c.png?w=500&p=true&q=85
22049,23551,1502,0,0,4,1497,200,image/png,999,11756054,https://images.cdn.prd.api.discomax.com/2023%2F4%2F17%2F7519ade5-3dd1-4ca0-847b-aaace079163a.png?w=3900&p=true&q=85
22601,22654,53,0,0,40,5,201,,11132,149,https://telegraph.prd.api.discomax.com/events
23758,23953,195,7,81,43,17,202,application/json; charset=utf-8,8572,547,https://events.prd.api.discomax.com/dcp-svc-go/events-api/v1/events
24601,24655,54,0,0,45,2,201,,7838,149,https://telegraph.prd.api.discomax.com/events
50626,50675,49,0,0,40,2,201,,6725,149,https://telegraph.prd.api.discomax.com/events
70381,70439,58,0,0,44,7,200,application/json,6257,942,https://default.prd.api.discomax.com/labs/api/v1/sessions/feature-flags/decisions
70634,70687,53,0,0,44,2,201,,7097,149,https://telegraph.prd.api.discomax.com/events
70893,70954,61,0,0,47,7,200,application/json,6257,942,https://default.prd.api.discomax.com/labs/api/v1/sessions/feature-flags/decisions
71084,71738,654,0,0,639,8,200,application/json;charset=utf-8,6204,498,https://default.prd.api.discomax.com/authentication/linkDevice/initiate
72628,72680,52,0,0,42,2,201,,7608,149,https://telegraph.prd.api.discomax.com/events
73629,73685,56,0,0,41,9,202,application/json; charset=utf-8,8711,547,https://events.prd.api.discomax.com/dcp-svc-go/events-api/v1/events
73986,74050,64,0,0,47,9,200,application/json,6257,942,https://default.prd.api.discomax.com/labs/api/v1/sessions/feature-flags/decisions
74190,74772,582,0,0,568,7,200,application/json;charset=utf-8,6243,493,https://default.prd.api.discomax.com/authentication/linkDevice/initiate
74636,74689,53,0,0,43,3,201,,7608,149,https://telegraph.prd.api.discomax.com/events
76630,76680,50,0,0,41,2,201,,7082,149,https://telegraph.prd.api.discomax.com/events
78630,78687,57,0,0,41,8,202,application/json; charset=utf-8,9866,548,https://events.prd.api.discomax.com/dcp-svc-go/events-api/v1/events
80629,80680,51,0,0,41,2,201,,7235,149,https://telegraph.prd.api.discomax.com/events
108632,108688,56,0,0,47,2,201,,6725,149,https://telegraph.prd.api.discomax.com/events
118630,118684,54,0,0,40,7,202,application/json; charset=utf-8,7374,544,https://events.prd.api.discomax.com/dcp-svc-go/events-api/v1/events
120628,120676,48,0,0,39,2,201,,7081,149,https://telegraph.prd.api.discomax.com/events
140627,140676,49,0,0,40,1,201,,6726,149,https://telegraph.prd.api.discomax.com/events
168626,168677,51,0,0,40,3,201,,6725,149,https://telegraph.prd.api.discomax.com/events
200624,200676,52,0,0,43,2,201,,6726,149,https://telegraph.prd.api.discomax.com/events
209159,210648,1489,14,79,1333,19,200,application/json;charset=utf-8,6405,4617,https://default.prd.api.discomax.com/login
210733,211130,397,14,75,43,14,200,application/json,6346,426,https://prd.api.discomax.com/session-context/headwaiter/v1/bootstrap
210914,211040,126,0,0,112,7,200,application/json;charset=utf-8,6431,1033,https://default.prd.api.discomax.com/users/me
211271,211343,72,0,0,53,10,200,application/json,6327,1823,https://default.prd.api.discomax.com/labs/api/v1/sessions/feature-flags/decisions?projectId=d2ebd284-66bd-41be-9cf1-acaad76c9827
211280,211406,126,0,0,110,8,200,application/json;charset=utf-8,6366,1033,https://default.prd.api.discomax.com/users/me?validateAccount=true
211351,211466,115,0,0,106,2,304,application/json;charset=utf-8,6358,272,https://prd.api.discomax.com/users/me/partners
211359,211424,65,0,0,47,11,200,application/json,6327,341,https://default.prd.api.discomax.com/entitlements/userEntitlementsSummary/me
211665,211791,126,0,0,110,7,200,application/json;charset=utf-8,6327,1252,https://default.prd.api.discomax.com/users/me/profiles
211911,211965,54,0,0,43,2,304,application/json;charset=utf-8,6430,272,https://default.prd.api.discomax.com/legal/region
212353,212410,57,0,0,47,2,304,application/json;charset=utf-8,6430,272,https://default.prd.api.discomax.com/legal/region
212915,212986,71,0,0,56,8,200,application/json;charset=utf-8,6431,2721,https://default.prd.api.discomax.com/legal/terms?decorators=articleBodyRichText.richTextHtml&include=kind%2Cconsent&filter%5Bkind.brandId%5D=beam&filter%5Bkind.storeFrontRegion%5D=US
213238,213289,51,0,0,43,2,304,application/json,6366,258,https://default.prd.api.discomax.com/cms/configs/geoblock
213364,213417,53,0,0,43,2,201,,12194,149,https://telegraph.prd.api.discomax.com/events
213520,213720,200,0,0,184,9,200,application/json;charset=utf-8,6327,471,https://default.prd.api.discomax.com/users/registration/hasPasswordSet
213639,213838,199,15,86,42,15,202,application/json; charset=utf-8,11263,548,https://events.prd.api.discomax.com/dcp-svc-go/events-api/v1/events
214354,214469,115,0,0,105,2,304,application/json;charset=utf-8,6366,272,https://default.prd.api.discomax.com/users/me/profiles
215088,215179,91,0,0,5,85,200,image/png,1000,548253,https://images.cdn.prd.api.discomax.com/2023%2F4%2F4%2F8a2ec92e-f14f-4e00-acde-e01255c61d82.png
215168,215202,34,0,0,10,24,200,image/png,1000,125708,https://images.cdn.prd.api.discomax.com/2023%2F4%2F5%2F7893cf0a-ce42-4bce-8ddd-36bc8d7a2d98.png
215364,215413,49,0,0,40,2,201,,9686,149,https://telegraph.prd.api.discomax.com/events
218623,218680,57,0,0,41,8,202,application/json; charset=utf-8,7829,544,https://events.prd.api.discomax.com/dcp-svc-go/events-api/v1/events
