Start,End,Duration,TCP Connect,TLS Handshake,Wait,Receive,Status,Content Type,Request Size,Response Size,URL
15287,15902,615,8,69,299,19,200,application/json;charset=utf-8,727,2465,https://default.prd.api.discomax.com/token?realm=bolt
15289,15625,336,7,71,27,16,400,application/json,642,281,https://prd.api.discomax.com/session-context/headwaiter/v1/bootstrap
15970,16099,129,0,0,114,12,200,application/json,2377,4896,https://default.prd.api.discomax.com/labs/api/v1/sessions/feature-flags/decisions
16164,16356,192,0,0,171,20,200,application/json;charset=utf-8,2297,4762,https://default.prd.api.discomax.com/users/me
16220,16366,146,0,0,117,27,200,application/json,2212,4380,https://prd.api.discomax.com/session-context/headwaiter/v1/bootstrap
16595,16648,53,0,0,39,7,200,application/json,6073,338,https://default.prd.api.discomax.com/entitlements/userEntitlementsSummary/me
16619,16729,110,0,0,89,8,200,application/json;charset=utf-8,6073,889,https://default.prd.api.discomax.com/users/me?validateAccount=true
16626,16740,114,0,0,99,9,200,application/json;charset=utf-8,6065,465,https://prd.api.discomax.com/users/me/partners
16633,16683,50,0,0,35,8,200,application/json,6073,1819,https://default.prd.api.discomax.com/labs/api/v1/sessions/feature-flags/decisions?projectId=d2ebd284-66bd-41be-9cf1-acaad76c9827
16925,16976,51,0,0,35,8,200,application/json;charset=utf-8,6137,454,https://default.prd.api.discomax.com/legal/region
17172,17218,46,0,0,36,2,304,application/json;charset=utf-8,6176,272,https://default.prd.api.discomax.com/legal/region
17594,17656,62,0,0,46,9,200,application/json;charset=utf-8,6177,1137,https://default.prd.api.discomax.com/legal/terms?include=kind%2Cconsent&filter%5Bkind.brandId%5D=beam&filter%5Bkind.storeFrontRegion%5D=US&filter%5Bkind.alias%5D=sell-share-data&decorators=articleBodyRichText.richTextHtml
17858,17907,49,0,0,33,8,200,application/json,6073,577,https://default.prd.api.discomax.com/cms/configs/geoblock
18747,18911,164,7,68,36,9,201,,11584,149,https://telegraph.prd.api.discomax.com/events
